#Radial velocities from SM21

#Spec list
#0 - HARPS (SERVAL)
#1 - CARMENES (SERVAL)
#2 - STELLA  (CCF)
#3 HERMES (CCF)

#BJD           RV           sigRV       spec
8544.39910000 -185.38633191 8.39070831 0.00000000
8545.39831000 -7.12834442 9.57519257 0.00000000
8547.35028000 -138.20932853 9.29045995 0.00000000
8548.34730000 0.00000000 10.98707010 0.00000000
8557.30567000 -116.15503094 17.14558912 1.00000000
8557.31377000 -110.61769920 16.50925080 1.00000000
8559.37880000 191.67129369 6.24996496 0.00000000
8561.34820000 -336.25939118 8.48296816 0.00000000
8562.34752000 227.98484396 10.48372163 0.00000000
8563.34453000 -36.56467011 8.42784553 0.00000000
8564.35761000 -287.74469529 15.86634441 0.00000000
8565.34348000 293.32249817 9.72928288 0.00000000
8566.34280000 -9.78538328 5.95380960 0.00000000
8714.73189000 9.61093729 8.16540765 0.00000000
8716.73134000 -37.86359681 9.39313739 0.00000000
8722.71754000 -219.79933013 7.49388634 0.00000000
8727.74160000 30.13736783 7.54183217 0.00000000
8728.71946000 -102.00836698 6.84172385 0.00000000
8729.70714000 -134.45027061 8.27262255 0.00000000
8730.73501000 32.25670951 6.69043001 0.00000000
8734.67908000 112.17331403 7.29872628 0.00000000
8735.74276000 -248.89132271 14.79832421 0.00000000
8736.67832000 33.01543503 8.64344728 0.00000000
8737.74083000 201.64616759 11.12074254 0.00000000
8738.74582000 -219.52214667 6.62970582 0.00000000
8739.74469000 -53.76557078 9.65355460 0.00000000
8740.66829000 177.32548866 7.26805486 0.00000000
8741.72068000 -238.97656079 6.74045547 0.00000000
8791.62824000 -324.83633770 11.44341148 0.00000000
8791.68076000 -362.53866498 11.41564050 0.00000000
8791.75574000 -303.58450504 8.86852902 0.00000000
8792.67480000 10.41771879 13.64134103 0.00000000
8792.71232000 -13.19086239 12.76387547 0.00000000
8800.54476000 -246.70417731 16.94939476 1.00000000
8801.55212000 -74.35914269 14.78422771 1.00000000
8802.61116000 -212.50446927 12.42530599 0.00000000
8803.53282000 -69.93114394 11.83439069 0.00000000
8804.52259000 -85.37305640 10.06072875 0.00000000
8804.54505000 -5.94955358 20.12981954 1.00000000
8805.68053000 -219.33938129 8.16889012 0.00000000
8806.69493000 262.48463472 8.93322035 0.00000000
8807.54007000 -120.80181734 6.45492172 0.00000000
8807.61706000 15.26559278 20.29710939 1.00000000
8808.48224000 -43.34947098 25.41906262 1.00000000
8811.56438000 -270.24464857 27.06325027 1.00000000
8812.36993000 236.39649679 16.20018313 1.00000000
8813.42627596 -83.12043571 60.64893850 3.00000000
8813.59866950 174.17341338 51.02617283 3.00000000
8813.71287600 224.25139200 42.36438400 3.00000000
8814.42064953 -454.00014855 88.67307036 3.00000000
8814.59964954 -512.22123380 81.01632579 3.00000000
8815.43420249 162.68681505 57.92607665 3.00000000
8815.55484000 286.66801423 21.36491959 1.00000000
8815.68805000 311.89161489 7.11450785 0.00000000
8816.42969958 172.20885838 50.47780757 3.00000000
8816.52621000 61.59944161 12.21554061 1.00000000
8816.55536000 27.36519536 9.26517697 0.00000000
8817.49549000 -306.74881998 14.55159107 1.00000000
8817.56260000 -406.64611328 9.65961502 0.00000000
8818.51202000 287.29973009 13.43871186 1.00000000
8818.55024000 307.85309109 6.27337810 0.00000000
8819.54161000 32.75036931 6.06945887 0.00000000
8820.34700000 -524.50000000 157.00000000 2.00000000
8820.49267000 -442.79725336 14.06232961 0.00000000
8821.36000000 414.50000000 164.00000000 2.00000000
8821.66300000 183.50000000 132.00000000 2.00000000
8826.54700000 -221.50000000 123.00000000 2.00000000
8827.36100000 -78.50000000 134.00000000 2.00000000
8827.57300000 -179.50000000 112.00000000 2.00000000
8830.57300000 -153.50000000 117.00000000 2.00000000
8831.36200000 92.50000000 100.00000000 2.00000000
8831.52063000 46.15568996 17.85124270 1.00000000
8831.53149000 -101.62454036 10.09111389 0.00000000
8831.57500000 -400.50000000 190.00000000 2.00000000
8832.35200000 -241.50000000 115.00000000 2.00000000
8832.45004000 -1.11671587 12.73205315 1.00000000
8833.53800000 -300.50000000 96.00000000 2.00000000
8835.60509000 73.07060843 18.37695915 1.00000000
8836.29220000 166.32113789 16.06388471 1.00000000
8838.36500000 -100.36498108 7.50613994 0.00000000
8841.44773000 95.66746490 11.10147881 1.00000000
8841.45547000 47.17590090 7.30784693 0.00000000
8842.42153000 -14.41315201 11.96030588 0.00000000
8842.45430000 84.38191854 11.73005948 1.00000000
8843.46213000 -302.78058681 13.05640359 1.00000000
8843.50957000 -388.13639104 30.13378493 0.00000000
8844.44748000 247.85092269 17.98328313 1.00000000
8844.46309000 138.60650506 9.74444669 0.00000000
8845.41756000 158.78787343 10.64297892 1.00000000
8845.44361000 54.01160006 9.00828043 0.00000000
8846.41994000 -390.58660442 12.06681756 1.00000000
8847.47998000 191.66105384 6.18163847 0.00000000
8848.48536000 252.87232796 22.79577905 0.00000000
8849.53206000 -377.56834552 8.19138401 0.00000000
8850.45236000 218.57619882 6.40841679 0.00000000
8851.49960000 365.48620174 7.71484042 0.00000000
8853.45536000 295.25493320 6.90692859 0.00000000
8856.44500000 162.50000000 113.00000000 2.00000000
8857.55200000 404.50000000 90.00000000 2.00000000
8858.44200000 -374.50000000 150.00000000 2.00000000
8858.53249000 -461.70268807 8.87627586 0.00000000
8859.40260000 220.29880295 12.02611414 0.00000000
8860.44915000 215.40002960 7.84514794 0.00000000
8861.44300000 -454.50000000 114.00000000 2.00000000
8861.44702000 -471.36607297 5.54590570 0.00000000
8862.36244300 430.50077900 40.42672000 3.00000000
8862.37668000 236.93924353 6.19115766 0.00000000
8862.38994000 227.69395295 6.90797342 0.00000000
8862.43440000 215.41250542 7.77053607 0.00000000
8862.44644000 202.34446483 8.57525606 0.00000000
8862.46125757 349.55179390 65.59291950 3.00000000
8862.48800000 379.50000000 117.00000000 2.00000000
8862.54801000 188.40838767 17.24105485 0.00000000
8862.55922300 322.65616000 57.07001900 3.00000000
8863.35318836 307.77752823 36.83309152 3.00000000
8863.35355000 216.71213292 7.02434169 0.00000000
8863.42769000 134.19198181 5.93520535 0.00000000
8863.47340264 14.14358679 96.25251274 3.00000000
8863.49792000 30.02184771 7.26108015 0.00000000
8863.55500000 117.50000000 153.00000000 2.00000000
8863.56605600 -114.07875400 45.08454500 3.00000000
8863.56620000 -64.83148909 7.82655689 0.00000000
8864.34729379 -699.35884043 39.57419147 3.00000000
8864.35295000 -487.09733638 8.76289094 0.00000000
8864.45428212 -551.83442826 76.90843852 3.00000000
8864.47000000 -169.50000000 80.00000000 2.00000000
8864.47584000 -313.05496336 10.96513177 0.00000000
8864.54805000 -207.83262562 9.38025872 0.00000000
8864.56263000 -85.24950000 49.76526700 3.00000000
8865.35683000 160.39181108 9.33384355 0.00000000
8865.42260000 153.00018902 7.52566496 0.00000000
8865.46712130 -46.33207395 64.54124168 3.00000000
8865.49044000 92.06578582 8.14595304 0.00000000
8865.50600000 345.50000000 145.00000000 2.00000000
8865.55307616 24.34030453 46.27762756 3.00000000
8865.55738000 24.25588751 10.69468184 0.00000000
8866.33695103 145.03744411 42.65177576 3.00000000
8866.41570168 -114.47578112 70.16381942 3.00000000
8866.46649000 -24.43193307 15.26388085 0.00000000
8866.54600000 -37.50000000 114.00000000 2.00000000
8866.54785900 -185.61122500 56.00906700 3.00000000
8867.34870659 -545.67491380 106.07230094 3.00000000
8867.43640637 -269.89010355 63.85769454 3.00000000
8867.54707300 38.82334200 44.64550500 3.00000000
8867.56600000 212.50000000 118.00000000 2.00000000
8868.33978090 175.09136582 43.57260735 3.00000000
8868.44987306 95.51042995 62.76917600 3.00000000
8869.35700000 7.09569846 11.11195822 0.00000000
8869.39823000 -45.29252661 10.38138594 0.00000000
8869.41850052 -2.44980306 53.01827111 3.00000000
8869.46568000 -158.18956796 10.76806260 0.00000000
8869.50741000 -176.87009547 10.29986478 0.00000000
8869.52998500 -105.64320400 48.00250100 3.00000000
8869.55220000 -234.91639566 15.60947926 0.00000000
8869.56200000 -350.50000000 92.00000000 2.00000000
8870.55419000 113.52570613 15.66713295 0.00000000
8870.57012000 156.41107823 21.81902541 0.00000000
8872.39763000 -217.62976770 10.34146796 0.00000000
8872.40597000 -233.09057177 10.55742832 0.00000000
8872.43523000 -249.46242783 12.61268651 0.00000000
8872.44360000 -254.50382576 11.31622700 0.00000000
8872.45159000 -274.83814622 12.82544920 0.00000000
8874.48600000 277.50000000 103.00000000 2.00000000
8875.44800000 -245.50000000 109.00000000 2.00000000
8876.44900000 202.50000000 68.00000000 2.00000000
8877.44463000 58.94813274 14.02725812 0.00000000
8877.44900000 170.50000000 84.00000000 2.00000000
8877.44931000 126.41417826 14.51084668 0.00000000
8877.45436000 104.49449114 12.23931534 0.00000000
8877.45950000 43.84335028 14.59142524 0.00000000
8877.46404000 115.00371953 15.95615786 0.00000000
8877.46878000 101.07875181 17.43000392 0.00000000
8881.47100000 -636.50000000 78.00000000 2.00000000
8886.35824000 53.85133309 4.99807741 0.00000000
8887.35593000 -769.00740934 5.18980247 0.00000000
8887.45400000 -677.50000000 86.00000000 2.00000000
8887.46126000 -662.47261315 6.28008097 0.00000000
8888.36102000 226.48002321 9.10114535 0.00000000
8888.44100000 300.50000000 161.00000000 2.00000000
8889.37788000 156.05178029 5.49910069 0.00000000
8889.47092000 259.35391782 7.01951423 0.00000000
8890.46200000 -456.50000000 104.00000000 2.00000000
8891.37689000 196.89389837 7.43782660 0.00000000
8892.43910000 356.65058611 6.70936672 0.00000000
8893.33833000 -432.38278720 8.17634769 0.00000000
8893.35462000 -412.84137408 6.07679985 0.00000000
8893.37263000 -366.41801127 7.09163918 0.00000000
8893.38731000 -358.15440444 5.60833636 0.00000000
8893.40496000 -329.23779098 6.25677834 0.00000000
8893.42411000 -293.35969952 6.62297849 0.00000000
8893.43999000 -254.20972393 6.17357216 0.00000000
8893.45591000 -211.02043043 5.68778644 0.00000000
8893.47722000 -172.61788738 8.51444557 0.00000000
8895.34799000 423.28933355 9.77735476 0.00000000
8895.41720000 420.58205573 14.96905382 0.00000000
8895.47826000 282.22115339 22.97463064 0.00000000
8896.33633000 -294.81334990 8.40068148 0.00000000
8896.40614000 -137.64238840 12.51025183 0.00000000
8896.46400000 114.50000000 100.00000000 2.00000000
8897.34413000 213.93259968 9.04405665 0.00000000
8897.40201000 95.53411073 21.70031106 0.00000000
8897.47972000 73.14217895 32.69924361 0.00000000
8898.33753000 401.40111173 8.98875734 0.00000000
8898.40662000 302.45532441 8.83719916 0.00000000
8898.40910083 506.81685013 142.06028650 2.00000000
